SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
14,"<div id=sub14in1"" class=""noChange"">all</div>""",#sub14in1,all,noChange,60.583,1436443172795,1436443175550," ""718""",587.296875,718,587,43,42
14,"<div id=sub14in2"" class=""noChange"">of</div>""",#sub14in2,of,noChange,60.583,1436443172795,1436443175550," ""718""",638.203125,718,638,37,42
14,"<div id=sub14in3"" class=""noChange"">solutions</div>""",#sub14in3,solutions,noChange,60.583,1436443172795,1436443175550," ""718""",683.78125,718,683,138,42
15,"<div id=sub15in0"" class=""noChange"">offered</div>""",#sub15in0,offered,noChange,63.741,1436443175801,1436443178809," ""718""",342.3203125,718,342,110,42
15,"<div id=sub15in1"" class=""noChange"">by</div>""",#sub15in1,by,noChange,63.741,1436443175801,1436443178809," ""718""",460.8359375,718,460,45,42
15,"<div id=sub15in2"" class=""noChange"">Brunelleschi</div>""",#sub15in2,Brunelleschi,noChange,63.741,1436443175801,1436443178809," ""718""",513.5234375,718,513,185,42
15,"<div id=sub15in3"" class=""noChange"">with</div>""",#sub15in3,with,noChange,63.741,1436443175801,1436443178809," ""718""",706.7265625,718,706,68,42
15,"<div id=sub15in4"" class=""noChange"">his</div>""",#sub15in4,his,noChange,63.741,1436443175801,1436443178809," ""718""",782.5234375,718,782,52,42
15,"<div id=sub15in5"" class=""noChange"">Dome</div>""",#sub15in5,Dome,noChange,63.741,1436443175801,1436443178809," ""718""",842.3203125,718,842,96,42
16,"<div id=sub16in0"" class=""noChange"">Michelangelo</div>""",#sub16in0,Michelangelo,noChange,69.049,1436443181315,1436443185322," ""718""",204.5546875,718,204,200,42
16,"<div id=sub16in1"" class=""noChange control"">non</div>""",#sub16in1,non,control,69.049,1436443181315,1436443185322," ""718""",412.0078125,718,412,64,42
16,"<div id=sub16in2"" class=""noChange control"">avrebbe</div>""",#sub16in2,avrebbe,control,69.049,1436443181315,1436443185322," ""718""",484.2890625,718,484,126,42
16,"<div id=sub16in3"" class=""noChange control"">avuto</div>""",#sub16in3,avuto,control,69.049,1436443181315,1436443185322," ""718""",618.8203125,718,618,90,42
16,"<div id=sub16in4"" class=""noChange"">the</div>""",#sub16in4,the,noChange,69.049,1436443181315,1436443185322," ""718""",715.9921875,718,715,56,42
16,"<div id=sub16in5"" class=""noChange"">basis</div>""",#sub16in5,basis,noChange,69.049,1436443181315,1436443185322," ""718""",779.3671875,718,779,86,42
16,"<div id=sub16in6"" class=""noChange"">for</div>""",#sub16in6,for,noChange,69.049,1436443181315,1436443185322," ""718""",872.9609375,718,872,49,42
16,"<div id=sub16in7"" class=""noChange"">his</div>""",#sub16in7,his,noChange,69.049,1436443181315,1436443185322," ""718""",929.1953125,718,929,52,42
16,"<div id=sub16in8"" class=""noChange"">work.</div>""",#sub16in8,work.,noChange,69.049,1436443181315,1436443185322," ""718""",988.9921875,718,988,88,42
17,"<div id=sub17in0"" class=""noChange"">The</div>""",#sub17in0,The,noChange,74.809,1436443187076,1436443189583," ""718""",426.4609375,718,426,66,42
17,"<div id=sub17in1"" class=""noChange"">Dome</div>""",#sub17in1,Dome,noChange,74.809,1436443187076,1436443189583," ""718""",500.4921875,718,500,96,42
17,"<div id=sub17in2"" class=""noChange"">like</div>""",#sub17in2,like,noChange,74.809,1436443187076,1436443189583," ""718""",604.7421875,718,604,59,42
17,"<div id=sub17in3"" class=""noChange"">the</div>""",#sub17in3,the,noChange,74.809,1436443187076,1436443189583," ""718""",671.6484375,718,671,56,42
