SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
9,"<div id=sub9in1"" class=""noChange"">I</div>""",#sub9in1,I,noChange,42.43,1436442889624,1436442891629," ""718""",357.328125,718,357,20,42
9,"<div id=sub9in2"" class=""noChange"">wanted</div>""",#sub9in2,wanted,noChange,42.43,1436442889624,1436442891629," ""718""",385.109375,718,385,114,42
9,"<div id=sub9in3"" class=""noChange"">to</div>""",#sub9in3,to,noChange,42.43,1436442889624,1436442891629," ""718""",507.1875,718,507,37,42
9,"<div id=sub9in4"" class=""noChange"">give</div>""",#sub9in4,give,noChange,42.43,1436442889624,1436442891629," ""718""",552.765625,718,552,70,42
9,"<div id=sub9in5"" class=""noChange"">you</div>""",#sub9in5,you,noChange,42.43,1436442889624,1436442891629," ""718""",630.359375,718,630,62,42
9,"<div id=sub9in6"" class=""noChange"">another</div>""",#sub9in6,another,noChange,42.43,1436442889624,1436442891629," ""718""",700.84375,718,700,120,42
9,"<div id=sub9in7"" class=""noChange control"">Butcher's</div>""",#sub9in7,Butcher's,control,42.43,1436442889624,1436442891629," ""718""",828.265625,718,828,143,42
9,"<div id=sub9in8"" class=""noChange control"">hook.</div>""",#sub9in8,hook.,control,42.43,1436442889624,1436442891629," ""718""",979.546875,718,979,89,42
10,"<div id=sub10in0"" class=""noChange"">Which</div>""",#sub10in0,Which,noChange,44.667,1436442891879,1436442893884," ""718""",55.046875,718,55,99,42
10,"<div id=sub10in1"" class=""noChange"">is</div>""",#sub10in1,is,noChange,44.667,1436442891879,1436442893884," ""718""",162.84375,718,162,34,42
10,"<div id=sub10in2"" class=""noChange"">that</div>""",#sub10in2,that,noChange,44.667,1436442891879,1436442893884," ""718""",204.84375,718,204,65,42
10,"<div id=sub10in3"" class=""noChange"">I</div>""",#sub10in3,I,noChange,44.667,1436442891879,1436442893884," ""718""",277.109375,718,277,19,42
10,"<div id=sub10in4"" class=""noChange"">believe</div>""",#sub10in4,believe,noChange,44.667,1436442891879,1436442893884," ""718""",304.890625,718,304,113,42
10,"<div id=sub10in5"" class=""noChange"">that</div>""",#sub10in5,that,noChange,44.667,1436442891879,1436442893884," ""718""",425.1875,718,425,64,42
10,"<div id=sub10in6"" class=""noChange"">we</div>""",#sub10in6,we,noChange,44.667,1436442891879,1436442893884," ""718""",497.453125,718,497,52,42
10,"<div id=sub10in7"" class=""noChange"">have</div>""",#sub10in7,have,noChange,44.667,1436442891879,1436442893884," ""718""",557.25,718,557,80,42
10,"<div id=sub10in8"" class=""noChange"">the</div>""",#sub10in8,the,noChange,44.667,1436442891879,1436442893884," ""718""",645.53125,718,645,56,42
10,"<div id=sub10in9"" class=""noChange"">power</div>""",#sub10in9,power,noChange,44.667,1436442891879,1436442893884," ""718""",708.90625,718,708,99,42
10,"<div id=sub10in10"" class=""noChange"">to</div>""",#sub10in10,to,noChange,44.667,1436442891879,1436442893884," ""718""",814.953125,718,814,38,42
10,"<div id=sub10in11"" class=""noChange"">change</div>""",#sub10in11,change,noChange,44.667,1436442891879,1436442893884," ""718""",860.53125,718,860,116,42
10,"<div id=sub10in12"" class=""noChange"">things</div>""",#sub10in12,things,noChange,44.667,1436442891879,1436442893884," ""718""",984.40625,718,984,96,42
